text,label
Yasopp and Dragon are not bad dads. Everything they've done is to protect their sons' future.,hot_take
Shanks made a vivre card of Luffy. Ain't no way Shanks didn't know the importance of the fruit. So if he makes a vivre card he knows at all times where Luffy is and if Luffy ever died he would know the fruit was reintroduced in the world. He was probably sweating bullets During impel down watching that thing whither while pointing towards a goverment prison and then towards Marineford.,analysis
"Ennies Lobby is where joyboy dies. The shape of the island, and the fact that the sun never down makes me believe",hot_take
The only time Sanji wasn't pretending to be a creep was at the beginning of the time skip. Bro was so down bad after 2 years in he'll. Every other time he's been faking it so that he could do nice things for women without making them feel like they owe him something. Biggest clue is the Wano oiran. Dude was fucking locked in during the battle and couldn't act. After the battle ends he runs into her again and he knows shes not gonna fall for it if he does it to her. Robin gives him an out as well and she gets the hint that he's leaving becuase he likes robin more.sane with pudding. He stopped acting after she fell for him too. He does make some faces afterwards but it's probably because he finds her cute in how shes trying to hide it.,hot_take
"Big News Morgans has a secret identity in his human form, and uses it to get much of his intel. This secret identity is a named character the readers know, but doesn't know is Morgans. Sort of like Bruce Wayne and Batman",hot_take
Enell is coming back from the moon with aliens,hot_take
"The Elders aren’t devil fruit eaters, they’re something else. Oda even introduced them with monster names instead of DF titles",hot_take
"Garp actually encouraged Dragon to start the RA after God Valley and has been his inside man in the Marines since then, by supplying info and subtly sabotaging operations where he is involved. That’d be a big enough twist to make Garp not evil, and paint his inaction in a wholly different (and a lot better) light.",hot_take
"Buggy will be king of the pirates, albeit a very brief amount of time.",hot_take
Zorro taking luffy's pain was chilling,reaction
"This is the most valid take. Luffy was clearly superior but, until he manages his stamina, Kizaru could take him down playing smart. Kizaru just wouldn't want to try to take Luffy man to man in a flat out brawl.",analysis
I would disagree here. People will say ‘match up diff’ is the only reason Luffy lost but that isn’t a fair point. Kizaru is a really fucking bad matchup for 90% of the verse when he actually fights properly and at that point it stops becoming a matchup diff and becomes a skill issue for his opponents.,analysis
"Haki -garp . He only uses his fist so logically his haki should be greater especially the armament Endurance -whitebeard . Look at their old age damage difference. Durability -equal . Id say they have no durability feat that puts the other above the latter . Garp could maybe be argued as more durable due to his superior armament . Speed -garp . Going off their old selves again her for scaling , oldbeard was kinda slow even if it was due to his age . Whilst old garp outpaced kuzan on several occasions . Physical prowess - whitebeard . I believe due to whitebeards stature and the feats he has shown he gotta edge Garp out slightly , Garp is a normal human whilst whitebeard could very well be a buccaneer. Ap - Whitebeard . Having a supreme grade blade plus a devil fruit edges Garp out imo . Cutting attacks are more deadly than blunt force most of the time in the story. Dc- whitbeards . Power to destroy the world tremors etc no debate here. Battle iq -equal .same here nothing seen to put either above the other from my knowledge. Iq -equal . Haven’t seen anything that puts either above the former. Practice of their respective craft -garp . He earned his fists by hitting battleships like brannew mentioned . He is also the best h2h fighter in the old gen , being able to fight monsters that wield supreme graded blades with his bare fists. So in conclusion I believe primebeard in a fight edges out prime garp ",analysis
"I use narrative for than anything for my choices. As for Zoro, I think its pretty established that Oda isnt going to ever have Zoro lose a fight until Mihawk (By quote of him saying he will never lose again after Mihawk). So essentially ask yourself this, ""Would Oda actually make Zoro lose to Yamato if he were to ever make it happen?"" Zoro losing not only serves no narrative purpose, it reverses his status as the powerhouse in the Straw Hats and also makes the buildup to his fight w Mihawk stall, just for Yamato? A way less important character? If that makes sense to my thought process.",analysis
"Garp's biggest fault for ranking lower is his durability, one stab from Shiryu and he was out for the count, a glass canon if you will. I think Kuzan and other younger characters serve a greater narrative importance for the final war so would be odd for them to lose to Garp, stalling their hype as strong characters for the final war.",analysis
"I agree Dragon is very speculative, but also (I know I sound like a broken record) narrative takes over. Father of the main character of a battle shonen, who is sandwiched bloodline-wise in between one of if not the strongest marine ever and a sun god yonko, turns out to be a nerd strategist? Make it make sense. Would be one of the biggest let downs of a character ever in the Big 3. One Piece already has their King/Mr. Satan being Buggy.",analysis
"Considering we saw how Kuzan did against an old Garp, whilst having the numbers advantage, I don't think it's insane to say Prime Garp can and likely would win this fight against kizaru and akoiji, though it wouldn't be easy.",analysis
"This fight made them solidly stronger than base Rocks and the ~12 years after GV had them become even stronger. Prime Roger, WB, and Garp are all a tier above Base Rocks.",analysis
"Completely agreed. This isn't a ""combined attack"" like Kaido and BM's hakai. Roger and Garp's attack landed and tore through different parts of DR Rocks' huge body(bigger than Linlin). Their AP didn't stack into one big attack like what happened with Ocean sovereignty. Each of these attacks do their respective damage on DR Rocks even if they landed individually.",analysis
"If Shanks actually defeated Loki then he would be in the same tier. Slightly skeptical of the fact that he did (since Loki cleanly scales above Harald, Rocks, WB, and the other top tiers and Shanks was implied to be relative to WB) but if he did then he would be up there too.",analysis
Legendary Joyboy title,reaction
Baby Tech looks exactly like Brook,reaction
I was balling when the doctor called chooper his son,reaction
"When Robin says, ""I want to live"" and lufy smiled and birned up the world gov flag....chills",reaction
I do not believe we are leaving elbaf anytime soon and instead I believe Elbaf will come into 3 parts just like wano. I believe part 1 focuses on the straw hats vs Imu. It will end with them being defeated but Imu will hit his time limit and be forced to leave. Now in the latest chapter it was said after leuven declared war that the marines sent a fleet but it took a month to arrive which meant Esperia had 1 month to prepare. Similar I believe elbaf is going to be attacked by the wg but this time with a full force but it will take time especially with every thing else going on. So part 2 will focus on the giants and straw hats going through the preparations for the war that is to come.,analysis
I could not stop laughing when the lightening god could not hurt luffy cuz hes made of rubber,reaction
"Oda has been setting up inherited will since the beginning, so the Joy Boy reveal fits the larger theme of freedom.",analysis
"The Void Century is probably connected to the Ancient Kingdom because the World Government keeps erasing historical records, which suggests the truth threatens their legitimacy.",analysis
"Egghead mirrors Sabaody because both arcs separate the crew and involve the Marines, but this time the Straw Hats are strong enough to resist.",analysis
"Garp founded Sword, I don't think it was ever stated but that's my headcannon",hot_take
The narrator is Usopp.,hot_take
Lafitte is Hattori and has been spying on WG secret intel this entire time,hot_take
The man marked by flames is Xebec.,hot_take
Garp still being in the Navy is more related to protecting Dragon than him defeating Rocks,hot_take
Mihawk is related to Imu.,hot_take
The Strawhats have unknowingly collected Devil Fruits on the Thousand Sunny via Nami’s tangerine trees. It’s possible that Kaido’s and Big Mom’s DF reincarnated on the ship since it was close by. They never bother to look so they are just sitting up there. There could possibly be more rare DF as well.,hot_take
The rare diseases in one piece are connected to the Elder's experiments and Roger. Roger fought with Ju Peter and left a scar on him and got diseased. This connects to the white disease and sapphire scale,hot_take
The red line will be destroyed which will result in the all blue. ,hot_take
Doflamingo will return to Mary Geoise to kill all the celestial dragons in the final struggle of the story,hot_take
Luffy and Robin being half siblings,hot_take
Blackbeard drowns.,hot_take
Imu probably was an Amazonian who loved Joyboy and he turned her down and she turned evil. That's probably why Roger laughed because he was in the same situation.,hot_take
Ussop accidentally ate the coward coward fruit but the fruit is too scared to activate,hot_take
Choppers rumble balls will be the breakthrough in the Vegapunk research towards the first new age genuine recreation of a devil fruit or the creation of a whole new type entirely.,hot_take
Amazon is Luffy’s mom.,hot_take
"zoan users are on full form, the one that died are the zoan fruit instead of user.",hot_take
Luffy has been passively using Haki for the whole series. Like Armament when he beat Crocodile or Observation when he beat Mr. 3 and was clowning on Enel. He didn’t know it but just has an incredible natural affinity for it.,hot_take
Caesar is one way or another related to Gangster Gastino,hot_take
Nami is a princess or something much more important like being linked to Imu which will be shown close to the end.,hot_take
Buggy hasn't taken any of his fights seriously and when he does things will quickly change.,hot_take
Buggy will find the one piece first.,hot_take
Imus butterflies are toys.,hot_take
Koby and Luffy will defeat blackbeard together,hot_take
Joyboy's crew became the D Clan and they used the D to identify eachother like how the strawhats used the X on Alabasta,hot_take
The dream that Luffy talked about before reaching Egghead was going to space.,hot_take
"Luffy will become the official Pirate King, but Buggy will get all the credit for it and he will be the King of Pirates to the public.",hot_take
"The one piece is a children’s pop up book, or a simple children’s book with the one piece of information needed to complete the void history and take down the world government",hot_take
Skypiea's ending events might have been a draft of the true One Piece ending in a much smaller scale. From the moment the last priest is defeated onwards.,hot_take
The Will of D. refers to Joy boy's pirate crew called the 'Dawn Pirates',hot_take
"Anyone can learn all 3 types of haki, it's just propaganda that you can only use conquerors if you have a knack for it",hot_take
Luffy is stupid because he's made of rubber and his brain's electrical impulses don't work well,hot_take
Tritoma is Luffy’s mom,hot_take
"Sanji and zoro have manifested their own devil fruit powers. When they die, diable jambe and asura will manifest in their respective fruits for the first time.",hot_take
"Oda wrote this story as a guide for our generation to revolt against the current corrupt ""world goverment""/ elites. Mary Geoise will be reclaiming the holy land.",hot_take
Mihawk paints his sword black,hot_take
The One Piece is a space ship in the shape of a flying saucer straw hat,hot_take
"Luffy is Uranus, his Straw Hat on his head looks kinda like a ring on a planet, like Uranus. Also Roger was Uranus before him",hot_take
Oda had no idea what the One Piece was when he started writing and only figured it out in the last couple arcs.,hot_take
Buggy is Rock's son!,hot_take
Kidd is a part of the Davey clan but not through rocks or Blackbeard but through shams and garland.,hot_take
"Sandai Kitetsu will break and Zoro will have to contact someone in Wano to send him Nidai Kitetsu. And by the end of the series Enma, Wado Ichimonji, and Nidai Kitetsu will become black blades increasing in rank becoming Supreme Grade Swords.",hot_take
The final fight is going to be Luffy crew vs Shanks crew,hot_take
Vivi will be the key to the last ancient weapon and it'll be connected with a flying creature to mirror momo/zunesha and shirahoshi/search kings,hot_take
"Perona has ties to Wano, and more specifically is probably related to Toko",hot_take
"The One Piece is all the treasure left by Joy Boy, alongside a big Poneglyph with all the story of the Void Century. It's all the story in One Piece of Poneglyph.",hot_take
Long land island is connected to Joyboy,hot_take
Both the heart and kid pirates and their full crew is alive,hot_take
The Snow snow fruit is on the Sunny and someone will accidently eat it.,hot_take
Luffy is not a member of the D. Clan: He's a random orphan who was adopted by Dragon to prove that anyone can have the power to rise up against the system and seek true freedom.,hot_take
"Uta and Bonney are cousins, Shamrock is the father.",hot_take
"Eating 2 devil fruits doesn’t really kill you but since they’re so rare to begin with, nobody is willing to risk it",hot_take
The reason Blackbeard attacked Shanks all those years ago was because he wanted revenge for watching Garling kill his mother(or father) in front of him,hot_take
Luffy's dream is to make everyone on the planet a member of his crew,hot_take
Black Beard And Luffy gonna team up against the World Government,hot_take
"Garp, Dragon and Roger conducted a plan together post God Valley to take down WC",hot_take
"the three souls inside Blackbeard are Teech, Rocks, and Davy Jones",hot_take
Luffy’s dream is to have the worlds biggest feast/party that the world is invited to,hot_take
"The One Piece is a story, being a play on the title of the manga",hot_take
Vivi will get the paw paw fruit somehow. Lily had it 900 years ago and used it to scatter the poneglyphs to make it impossible/way harder for the government to hide them,analysis
"Davy, Joyboy, and Imu all represent different gods. Imu is the earth god, Davy the sea god, Joyboy the sun god. Davy is responsible for the world's flooding after Joyboy was killed.",analysis
Blackbeard has the powers of the gura gura no mi is because he absorbed them with his yami yami no mi before the fruit got reincarned. And he can do it with more powers.,analysis
Big Mom or her crew at least will possibly end up being an ally of the Straw Hats either through Katakuri and Luffy or Pudding and Sanji.,analysis
"Everyone assumes that Luffy has fallen victim to the common shonen trope of “main character has secretly been destined to win the whole time due to bloodline”. I do not believe Oda would do that to us. Let’s recap- Luffy ate the Gum Gum fruit by happenstance. He was never meant to get ahold of it. He has worked harder than anyone else we’ve seen in universe specifically to become the pirate king and achieve his as of yet unknown true dream. He had accepted his imminent death in Loguetown, and beyond that accepted the fact he may die at every turn. He is willing to put his aspirations aside at a moments notice to fight injustice or save his friends, or anyone who has just given him a sandwich recently. He was not chosen to be the incarnation of Nika- he earned it and was recognized as having earned it by the fruit. Anyone familiar with the Zelda series knows that of all of the incarnations of Link, the one from Wind Waker was not the incarnation chosen by the gods like most others across the series. He was unique in that he was a simple boy who’s sister got kidnapped, set out to save her, and after conquering the tower of the gods was recognized as being worthy to take up the mantle of hero. Likewise, the true form of the gum gum fruit, and indeed Nika/Joyboy/ whatever, did not choose Luffy. Luffy chose his own fate and was recognized as being worthy of that mantle.",analysis
"Garps position within the Marines, Dragons position within resistance and Roger enabling golden age isn’t coincidental",analysis
"I believe there is another leader in world government system. someone very less powerful than imu. because we have the pawns(celestial dragons) , knights(god knights) , rooks(elders) , bishops (marine) , queen = imu. acc to chess , the position of ""King"" is still left. which means there is someone who is controlling the whole world of one piece but almost none know abt him. It could also possibly be xebec , bb.",analysis
"The one who owns Soul Soul fruit is actualy Caramel. She never got eaten by BM, she just waited the frenzy to end so she could use her awakened fruit to possess Charlote Linlin. With that, she would be a strong devil fruit user with a strong body. Charlote Linlin got killed, but Caramel is there.",analysis
"Blackbeard pirates seems to be find themselves in places perfect for their plan. I believe Lafiette is the reason why. He met blackbeard right after the GV incident, and he has similar goals as Blackbeard. We may even see him in the current flashback. I believe he has a df that helps him know the place and time of where they should be to achieve their plan, similar to Hawkins df. He was the one that made Blackbeard join whitebeard and not big mom or kaidou or John or other rocks or Roger pirates. He is the person who recruited other members and was waiting for Blackbeard to get his df. He is also the reason why they were in drum/jaya instead of sabody where it would be easy to find rookies to defeat. Why they were this lucky in finding all the other fruits and how they ended up in egg head at the right time.",analysis
"Rocks is from God Valley and learned all about the history of the world from the Davy clan people and artifacts there. How else would he have known about Imu in Mary Geoise? I don't think Imu's motivations are simply ""because evil"". I think there are all reasonable explanations for how things have ended up this way and some may even seem reasonable. Rocks didn't kill Imu in Marie Geoise because he didn't know how to. He was trying to work out what Imu's weak spot is to usurp them instead. He took 5 kings hostage on the assumption that Imu would care and was frustrated when Imu said they didn't give a fuck about the kings, because they really don't. Rocks then goes on to tell Harald that children are a parent's weakness, meaning it's likely that Imu has children and this will be exploited against them (probably by Blackbeard).",analysis
"This may just be my English literature class influencing me, but I've been thinking about some possible symbolism for the Straw Hat. I think that it represents desire and ambition to become a legendary pirate/Pirate King/find One Piece, and also inherited will. Now some reasons why I think so; Gold Roger started with the hat, we see him playing with it when he asks Rayleigh to join his crew and ""turn the world upside down."" Then when he's finished, he passes it on to the next generation, Shanks, an aspiring pirate. For whatever reason Shanks sees something special in Luffy and realizes that he must be the one. So he hands it to Luffy, and makes him promise that he will be a great pirate one day. Luffy hasn't left the hat since, and he has stood by his desire to be Pirate King. More smaller details; Luffy gives his hat to Nami and pauses his journey to become Pirate King in order to defeat Arlong as well as protect his nakama. During the timeskip he takes off his hat to, again, put his dream on standby in order to train and get stronger so that he can survive in the New World. The hat being his ""treasure"" could also be referencing the symbolism in that it represents his ambition to find One Piece.",analysis
"Doflamingo is the evil Peter Pan. No, he doesn't have a Peter Pan complex. He doesn't act lke a kid, he doesn't play with the toys. He behaved like an adult at all time (even when he was a kid). He's Peter Pan in a sense that he's extremely selfish (like the original Peter Pan)... and he can fly. He is also a leader of his ""family"". But noticed, they don't call him DAD. His ""elite officers"" talked to him as if they are almost equal. ",analysis
"Doflamingo is a playground bully. He doesn't even have a plan in this arc, he's at a receiving end of all these attacks against him. That's because he is already set. He won a long time ago. And he is desperate to defend what he has. And what does a bully do when the ones being bullied started fighting back? Act like a victim and call a teacher.",analysis
"Characters are being told to grow up over and over again throughout the entire arc. The arc started with Luffy fighting with Momo for not letting Luffy rode on him. Then the other characters commented that Luffy shouldn't be fighting with an 8 year old. <---- This is basically what Doflamingo does. He's fighting with children the entire arc. Luffy on the other hand, ended the arc by adulting and becoming a parent for 5640 pirates, in a chapter called ""parent and child.""",analysis
"The idea of adult messing things up for the new generation is not a new one, especially in Anime. If you ever play Persona 5, or watch any arc of Naruto (the last gigantic arc they basically had to fight with zombies of the adults that ruined their lives in the past, some going back several generations), Japanese theme of adults messing up the world for kids is not new. I believe this is the only arc of One Piece that has this message though. This is reinforced when Luffy said a grandpa's sin is not the grandchild's fault (referencing both Garp, Don Chinjao, and Rebecca's grandfather).",analysis
"Even though he was a victim, it was King Riku who decided to pay instead of fight that got everyone into this mess in the first place. Oda probably expected most of his readers (like me) to think that Riku was also a bad ruler (I do), so he metaphorically got put on trial for his past choices. Dressrosa, the country, actually walk up to him to confront him about how he was a bad king.... in a form of Pica of course.",analysis
"When Doffy decided whether or not to accept Law into the family, and later in that same chapter, Corazon did not tell on Law (that Law stabbed him) shows that Corazon is Doflamingo's mercy. So when Doffy killed Corazon, he was trying to kill the last fraction of humanity he had left. Corazon however, transferred that heart to Law. In the end, Law couldn't kill Doffy, though it seems like not for lack of trying, he did tell Basil Hawkins in Wano that he doesn't like killing as he is a doctor. This may also explains why he rescued Luffy from the war. He has the heart.",analysis
"Dressrosa was a country shrouded in metaphorical darkness before Luffy made the sun shine again.The sun is what rises after the dawn, and Luffy is considered the dawn of the world. We saw the sunflower during Nami's flashback when Bellemere gave her a t shirt that had a lion sunflower on it (ch. 77), likely foreshadowing that Luffy, the dawn of the world, the bringer of the sun, would free her and her entire village at some time in the future. The lion in Christian theology symbolizes Christ, savior of humankind and bringer of light. So I think the sunflower was there to in part reinforce Luffy's Christ like figure in the context of Dressrosa who needed liberation from a false king.",analysis
"their boat being the Sunny is a brilliant piece of symbolism in itself. Both carrying the sun that ""brings the dawn of the world"", and further establishing Luffy as a Messianic leader figure. The lion commonly means royalty and power (king of the pirates), and is a common way of reffering to God or Christ.",analysis
"the Donquixote family is comprised entirely of adults barring Doflamingo. The family has the visage of children but their actions and behavior indicates otherwise (Senor Pink's apparel being indicative of his grief, Baby 5's behavior borne from abandonment, the Executives' childish behavior to belie their deviousness and cruelty, etc). I view the Donquixote Family as a group of enablers who have adopted a child and propped him onto a pedestal which has given said child a false sense of importance. I point you to the scene where the Executives find Doflamingo and bow before him as he stands atop a pile of rubble (the proverbial pedestal). This can also be seen in the relationship between Giolla and Dellinger, as the adult took on this child and molded them into becoming a very heinous creature.",analysis
"Gear 2nd is literally Luffy becoming a train. The use of the word ""gear"" to describe his transformation, and the fact that there are literal steam coming out of him (sidenote, it's probably stinky now that you think about it) reinforced this. Blueno even said ""are you trying to be a steam engine?",analysis
"Zeff described Luffy as a spear once, and he behaved like a spear in almost every major arc since Foxy. In most arc, Luffy is spent running towards something with the other straw hats trying to clear his path and the enemies keep getting in the way. This is how it was in Impel Down, Marineford, a bit of Punk Hazard, and Dressrosa. In Water 7, even though Rocket Man was stopped at the entrance, Luffy kept going (and Rocket Man did kept going) not listening to anyone. Zoro literally had to hold Luffy back as he was trying to run after Robin... (he was actually obsessed with Rob Lucci the pigeon guy from the start). This is what he does, head straight for the boss. He did so even in Amazon Lilly, reasoning that the boss must live in the highest building and headed straight for it. As the matter of fact, Luffy punched Vivi for not letting him go straight to beat up Crocodile, and also fought with Jinbei a bit on Fishman Island because Jinbei asked him not to head straight for Hody. So it makes sense that the straw hat would ride on Rocket Man into battle. Luffy is him. I feel kinda bad after reading in the wiki that it was just left in the ruins of Enies Lobby. It should have been put in a Water 7 museum or something.",analysis
"the huge tsunami that the straw hat had to literally go through is symbolic of having to weathered the storm together and pass through the giant wave of obstacle in front of them. May be there's a Japanese saying that better describe it. But every language has a saying about going through some type of wave I think.There's not much more to analyze about it, except the fact that it was mentioned over and over again that ""this is the worst Aqua Laguna in several years."" This could just mean that the enemy is the biggest straw hat has ever battled. One thing that a tsunami does that most people are unaware before it became common knowledge after the 2004 tsunami (and later Japan tsunami) is that before it hits, the sea would recede first. This was in the manga when Luffy and Zoro were stuck in between buildings after being thrown by Lucci. The wave receding revealed broken city underneath Water 7. It might be a bit of a stretch, but it outline the structure of the arc quite well. First, the water receded to reveal the ugly side of everyone, especially Luffy Usopp and Robin. Luffy for being a bad leader by not accepting the truth about Merry at first, couldn't calm and keep Usopp in line, and Robin's past, which he didn't care about, came back to bite everyone in the ass. Then of course, the wave hit representing ruler of the sea, World Government.",analysis
"While this goes beyond Water 7, Franky's several Battle Franky creations were made, including part of himself, on pile of discarded ships in the Scrap island. By the way, in case it wasn't obvious, and I was surprised it wasn't in the wiki, the name Franky comes from Frankenstein. His metal parts are from ""corpses"" of discarded ship. Most straw hat members were orphaned or abandoned in the flashback. The only members of straw hat that weren't discarded in some way was.... Merry. Merry was well designed and was given as a gift to straw hat. But Merry did make a trip to the scrap island. It was there that Iceberg fixed it for one last ride out.",analysis
"Unlike Goku, Naruto, or even Zoro, we never see Luffy ""train hard"" until we get Ace flashback and he spent time with Rayleigh learning Haki. But everytime Luffy gets a new move, it often looks similar to what he had ""seen"". He imitates Sanji and even himself frozen for visual gag. But he imitates fighting style also. He is almost like Taskmaster.His gear second imitated the steam engine that he saw, either Puffing Tom or Rocket Man. But his other moves he gained this arc imitated CP9's own moves, most noticably Soru and Geppo. After he sees something being done, Luffy just copies it. Luffy even thank Blueno for being there. He did this several times in later arc. His Gear 3rd probably DEFINITELY imitated the moves of the giants he encountered which he always remember since he noticed that Big Mom has similar move. The name of his moves are very telling with the way they are named All of his Gear 2nd moves have the word Jet in them (jet steam, not jet plane) All of his Gear 3rd moves have Giant in them... yes because his limbs are enlarged, but Giant Axe? That's a clear reference to Brogy, one of the giant he met on Little Garden.AFTER the Time Skip. All of his moves are named after animals. Gear Third's Elephant, Grizzly. and Gear Fourth's Serpent, Lion, and of course Monkey King, may referenced the animals he encountered during his training?",analysis
"What are the significance of people wearing masks at the beginning of Water 7. The whole mask thing was just abandoned when the CP9 revealed themselves and everybody was focused on Aqua Laguna. Did the masks meant anything at all? Franky was introduced wearing it and we never seen him does it again. But one straw hat made use of a mask. Usopp. Symbolically, mask is about ""the face you choose"". We don't really choose what we look like, we only dress it up sometime. But when we put on the mask, we become someone who we choose to be, OR, who we truly are. You know, the whole Bruce Wayne is not pretending to be Batman, but it's Batman that sometimes pretend to be Bruce Wayne, kinda thing.When CP9 put on the masks, that's who they really are, evil scary mfs. When they took off the masks, it revealed the face that we knew from earlier, but they are their trueselves then.",analysis
"Who is Sogeking? Sogeking is a straw hat member, who can pretty much be called ""the NOT USOPP"". Sogeking is useful, because Usopp was useless. The reason why he broke away from Straw Hat wasn't really because of Merry, but because he felt useless. Merry was his responsibility and he couldn't fix it. That's why he felt so guilty with the whole money and Franky thing, and lashed out at Luffy when Luffy said to abandon Merry. To Usopp, HE WAS MERRY. And if they abandoned Merry for not being useful anymore, he feels that he will get abandoned some day too. Same thing Robin feared will happen if the government kept going after them because of her. ",analysis
"Rob Lucci really hates Spandam. In fact, he openly admits that he admired Luffy as a leader. Luffy was called a bad captain by Iceberg at the beginning of the arc for not accepting Merry's death. He was also wrong for how he handled Usopp, and for not asking Robin ""HOW DID YOU KNOW AOKIJI?"" A recurring theme about not caring where anyone of his friend comes from (he should). He also lead a revenge on Franky's family for Usopp, something that, though satisfying, resulted in more trouble for Straw hat. (Looks like he didn't learn this lesson when he punched the hell out of Celestial Dragon clan, which he also didn't learn anything from, telling Amazon Lily granny that he would do it again)",analysis
